name,Units,Price,Change,%Change,Contract,Time (EDT)
Corn (CBOT),USd/bu.,450.00,-2.00,-0.44%,Jul 2024,4/26/2024
Wheat (CBOT),USd/bu.,622.25,+1.75,+0.28%,Jul 2024,4/26/2024
Oats (CBOT),USd/bu.,358.75,+7.75,+2.21%,Jul 2024,4/26/2024
Rough Rice (CBOT),USD/cwt,18.98,-0.19,-1.02%,Jul 2024,4/26/2024
Soybean (CBOT),USd/bu.,"1,177.25",-2.50,-0.21%,Jul 2024,4/26/2024
Soybean Meal (CBOT),USD/T.,344.70,-2.90,-0.83%,Jul 2024,4/26/2024
Soybean Oil (CBOT),USd/lb.,45.54,+0.11,+0.24%,Jul 2024,4/26/2024
Canola (ICE),CAD/MT,634.40,-2.50,-0.39%,Jul 2024,4/26/2024
Cocoa (ICE),USD/MT,"10,594.00",-210.00,-1.94%,Jul 2024,4/26/2024
Coffee 'C' (ICE),USd/lb.,224.00,-4.10,-1.80%,Jul 2024,4/26/2024
Sugar #11 (ICE),USd/lb.,19.09,-0.07,-0.37%,Jul 2024,4/26/2024
Orange Juice (ICE),USd/lb.,373.30,+3.80,+1.03%,Jul 2024,4/26/2024
Cotton #2 (ICE),USd/lb.,80.90,-0.18,-0.22%,Jul 2024,4/26/2024
Wool (ASX),--,--,--,--,N/A,--
Lumber (CME),USD/1000 board feet,--,--,--,N/A,--
Rubber (Singapore),USd/kg,159.90,+1.20,+0.76%,Jul 2024,4/26/2024
Ethanol (CBOT),USD/gal.,2.16,0.00,0.00%,May 2024,4/26/2024
Live Cattle (CME),USd/lb.,178.58,+0.78,+0.44%,Jun 2024,4/26/2024
Feeder Cattle (CME),USd/lb.,260.55,+2.25,+0.87%,Aug 2024,4/26/2024
Lean Hogs (CME),USd/lb.,102.48,-2.52,-2.40%,Jun 2024,4/26/2024
