name,Value,Change,%Change,High,Low,Time (EDT)
Bloomberg Commodity,240.39,-0.20,-0.08%,242.11,240.12,4/26/2024
UBS Bloomberg CMCI,"1,626.57",+2.82,+0.17%,"1,631.59","1,624.64",4/26/2024
Reuters/Jefferies CRB,345.07,-0.90,-0.26%,345.07,345.07,4/26/2024
Rogers International,"3,965.06",-3.96,-0.10%,"3,993.54","3,958.46",4/26/2024
S&P GSCI,"3,796.19",+9.07,+0.24%,"3,815.28","3,784.18",4/26/2024
WTI Crude Oil (Nymex),USD/bbl.,83.85,+0.28,+0.34%,Jun 2024,4/26/2024
Brent Crude (ICE),USD/bbl.,89.50,+0.49,+0.55%,Jun 2024,4/26/2024
RBOB Gasoline (Nymex),USd/gal.,276.46,+0.64,+0.23%,May 2024,4/26/2024
Natural Gas (Nymex),USD/MMBtu,1.92,-0.06,-3.17%,Jun 2024,4/26/2024
Heating Oil (Nymex),USd/gal.,254.82,-0.22,-0.09%,May 2024,4/26/2024
Gold (Comex),USD/t oz.,"2,347.20",+4.70,+0.20%,Jun 2024,4/26/2024
Gold Spot,USD/t oz.,"2,337.96",+5.50,+0.24%,N/A,4/26/2024
Silver (Comex),USD/t oz.,27.54,-0.10,-0.35%,Jul 2024,4/26/2024
Copper (Comex),USd/lb.,457.40,+3.55,+0.78%,Jul 2024,4/26/2024
Platinum Spot,USD/t oz.,917.04,-1.80,-0.20%,N/A,4/26/2024
Corn (CBOT),USd/bu.,450.00,-2.00,-0.44%,Jul 2024,4/26/2024
Wheat (CBOT),USd/bu.,622.25,+1.75,+0.28%,Jul 2024,4/26/2024
Cocoa (ICE),USD/MT,"10,594.00",-210.00,-1.94%,Jul 2024,4/26/2024
Cotton #2 (ICE),USd/lb.,80.90,-0.18,-0.22%,Jul 2024,4/26/2024
Live Cattle (CME),USd/lb.,178.58,+0.78,+0.44%,Jun 2024,4/26/2024
